date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:22	135/135	---MCZ	200	added ('OK')	text/plain	date:Mon,%2010%20Nov%202025%2022:52:32%20GMT	https://www.99freelas.com.br/robots.txt		(from )
08:49:22	29940/29940	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:23%20GMT	https://www.99freelas.com.br/	D:/BordadoHub/www.99freelas.com.br/index.html	(from )
08:49:23	7412/7412	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Nov%202025%2022:50:00%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/images/main-icons/apple-touch-icon.png	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/images/main-icons/apple-touch-icon.png	(from https://www.99freelas.com.br/)
08:49:23	863/863	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Nov%202025%2022:50:00%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/images/main-icons/favicon-16x16.png	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/images/main-icons/favicon-16x16.png	(from https://www.99freelas.com.br/)
08:49:23	1358/1358	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Nov%202025%2022:50:00%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/images/main-icons/favicon-32x32.png	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/images/main-icons/favicon-32x32.png	(from https://www.99freelas.com.br/)
08:49:23	380/380	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2010%20Nov%202025%2022:52:32%20GMT	https://www.99freelas.com.br/site.webmanifest	D:/BordadoHub/www.99freelas.com.br/site.webmanifest	(from https://www.99freelas.com.br/)
08:49:24	105549/105549	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Nov%202025%2022:50:00%20GMT	https://www.99freelas.com.br/images/fb-article.jpg	D:/BordadoHub/www.99freelas.com.br/images/fb-article.jpg	(from https://www.99freelas.com.br/)
08:49:24	43707/43707	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/main.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/main.css	(from https://www.99freelas.com.br/)
08:49:24	4945/4945	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/page-simple.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/page-simple.css	(from https://www.99freelas.com.br/)
08:49:24	2704/2704	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/modal.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/modal.css	(from https://www.99freelas.com.br/)
08:49:25	842/842	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/faq-box.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/faq-box.css	(from https://www.99freelas.com.br/)
08:49:25	1743/1743	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/search-box.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/search-box.css	(from https://www.99freelas.com.br/)
08:49:25	1722/1722	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/search-popup.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/search-popup.css	(from https://www.99freelas.com.br/)
08:49:25	4467/4467	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/plugins/flexslider/flexslider.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/plugins/flexslider/flexslider.css	(from https://www.99freelas.com.br/)
08:49:26	1653/1653	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/destaque.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/destaque.css	(from https://www.99freelas.com.br/)
08:49:26	1692/1692	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/como-funciona-3-passos.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/modules/como-funciona-3-passos.css	(from https://www.99freelas.com.br/)
08:49:26	6409/6409	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/css/pages/index.css	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/css/pages/index.css	(from https://www.99freelas.com.br/)
08:49:26	21661/21661	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:27%20GMT	https://www.99freelas.com.br/login	D:/BordadoHub/www.99freelas.com.br/login.html	(from https://www.99freelas.com.br/)
08:49:27	20591/20591	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:27%20GMT	https://www.99freelas.com.br/register	D:/BordadoHub/www.99freelas.com.br/register.html	(from https://www.99freelas.com.br/)
08:49:27	384455/384455	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:28%20GMT	https://www.99freelas.com.br/project/new	D:/BordadoHub/www.99freelas.com.br/project/new.html	(from https://www.99freelas.com.br/)
08:49:27	38187/38187	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:28%20GMT	https://www.99freelas.com.br/como-funciona	D:/BordadoHub/www.99freelas.com.br/como-funciona.html	(from https://www.99freelas.com.br/)
08:49:28	114230/114230	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:28%20GMT	https://www.99freelas.com.br/freelancers	D:/BordadoHub/www.99freelas.com.br/freelancers.html	(from https://www.99freelas.com.br/)
08:49:28	77927/77927	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:29%20GMT	https://www.99freelas.com.br/projects	D:/BordadoHub/www.99freelas.com.br/projects.html	(from https://www.99freelas.com.br/)
08:49:28	38190/38190	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:29%20GMT	https://www.99freelas.com.br/como-funciona?for=freelancer	D:/BordadoHub/www.99freelas.com.br/como-funciona579b.html	(from https://www.99freelas.com.br/)
08:49:29	22190/22190	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:29%20GMT	https://www.99freelas.com.br/register/freelancer	D:/BordadoHub/www.99freelas.com.br/register/freelancer.html	(from https://www.99freelas.com.br/)
08:49:29	115295/115295	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:30%20GMT	https://www.99freelas.com.br/freelancers?categoria=web-mobile-e-software	D:/BordadoHub/www.99freelas.com.br/freelancersb4a6.html	(from https://www.99freelas.com.br/)
08:49:29	114505/114505	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:30%20GMT	https://www.99freelas.com.br/freelancers?categoria=escrita	D:/BordadoHub/www.99freelas.com.br/freelancers0eb0.html	(from https://www.99freelas.com.br/)
08:49:30	111171/111171	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:30%20GMT	https://www.99freelas.com.br/freelancers?categoria=vendas-e-marketing&sub-categorias=seo-search-engine-optimization	D:/BordadoHub/www.99freelas.com.br/freelancers3e0b.html	(from https://www.99freelas.com.br/)
08:49:30	118144/118144	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:31%20GMT	https://www.99freelas.com.br/freelancers?categoria=design-e-criacao&sub-categorias=logotipos	D:/BordadoHub/www.99freelas.com.br/freelancers6064.html	(from https://www.99freelas.com.br/)
08:49:30	111503/111503	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:31%20GMT	https://www.99freelas.com.br/freelancers?categoria=fotografia-e-audiovisual&sub-categorias=video-edicao-e-producao	D:/BordadoHub/www.99freelas.com.br/freelancers6c64.html	(from https://www.99freelas.com.br/)
08:49:31	46615/46615	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:31%20GMT	https://www.99freelas.com.br/termos	D:/BordadoHub/www.99freelas.com.br/termos.html	(from https://www.99freelas.com.br/)
08:49:31	28361/28361	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:32%20GMT	https://www.99freelas.com.br/privacidade	D:/BordadoHub/www.99freelas.com.br/privacidade.html	(from https://www.99freelas.com.br/)
08:49:31	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Dec%202025%2011:49:32%20GMT	https://www.99freelas.com.br/dashboard	D:/BordadoHub/www.99freelas.com.br/dashboard	(from https://www.99freelas.com.br/)
08:49:32	22188/22188	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:32%20GMT	https://www.99freelas.com.br/register/client	D:/BordadoHub/www.99freelas.com.br/register/client.html	(from https://www.99freelas.com.br/)
08:49:32	38187/38187	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2011:49:33%20GMT	https://www.99freelas.com.br/como-funciona?for=client	D:/BordadoHub/www.99freelas.com.br/como-funciona6a68.html	(from https://www.99freelas.com.br/)
08:49:33	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Dec%202025%2011:49:33%20GMT	https://www.99freelas.com.br/dashboard	D:/BordadoHub/www.99freelas.com.br/dashboard	(from https://www.99freelas.com.br/)
08:49:33	1915/1915	---M--	200	added ('OK')	image/gif	date:Mon,%2010%20Nov%202025%2022:50:00%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/images/loading-circles.gif	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/images/loading-circles.gif	(from https://www.99freelas.com.br/)
08:49:33	24583/24583	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:51:40%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/main.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/main.js	(from https://www.99freelas.com.br/)
08:49:33	92830/92830	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:06%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery-1.8.2.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery-1.8.2.min.js	(from https://www.99freelas.com.br/)
08:49:34	14125/14125	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:20%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.form.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.form.min.js	(from https://www.99freelas.com.br/)
08:49:34	31246/31246	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:18%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery-ui-draggable.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery-ui-draggable.min.js	(from https://www.99freelas.com.br/)
08:49:34	24497/24497	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:10%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery-ui-1.11.4.custom.effects.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery-ui-1.11.4.custom.effects.min.js	(from https://www.99freelas.com.br/)
08:49:34	807/807	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:22%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.shorten.1.0.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.shorten.1.0.js	(from https://www.99freelas.com.br/)
08:49:35	20360/20360	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:20%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.mCustomScrollbar.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.mCustomScrollbar.min.js	(from https://www.99freelas.com.br/)
08:49:35	1006/1006	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:22%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.mousewheel.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.mousewheel.min.js	(from https://www.99freelas.com.br/)
08:49:35	2186/2186	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:18%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.cp-plugins.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.cp-plugins.js	(from https://www.99freelas.com.br/)
08:49:35	5840/5840	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:18%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.expander.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/jquery.expander.min.js	(from https://www.99freelas.com.br/)
08:49:36	15517/15517	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:22%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/linkify.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/linkify.min.js	(from https://www.99freelas.com.br/)
08:49:36	2905/2905	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:22%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/linkify-jquery.min.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/linkify-jquery.min.js	(from https://www.99freelas.com.br/)
08:49:36	2846/2846	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:51:56%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/EventEmitter.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/plugins/EventEmitter.js	(from https://www.99freelas.com.br/)
08:49:36	13245/13245	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:28%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/ServiceUtils.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/ServiceUtils.js	(from https://www.99freelas.com.br/)
08:49:36	2629/2629	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:28%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/ValidationUtils.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/ValidationUtils.js	(from https://www.99freelas.com.br/)
08:49:37	5394/5394	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:28%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/MessageUtils.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/MessageUtils.js	(from https://www.99freelas.com.br/)
08:49:37	2826/2826	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:28%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/UrlUtils.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/UrlUtils.js	(from https://www.99freelas.com.br/)
08:49:37	11248/11248	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:28%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/TooltipUtils.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/TooltipUtils.js	(from https://www.99freelas.com.br/)
08:49:37	6144/6144	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:28%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/StringUtils.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/StringUtils.js	(from https://www.99freelas.com.br/)
08:49:38	2124/2124	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:52:28%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/DateUtils.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/utils/DateUtils.js	(from https://www.99freelas.com.br/)
08:49:38	1925/1925	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:51:42%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/Events.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/Events.js	(from https://www.99freelas.com.br/)
08:49:38	458/458	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:51:42%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/Error.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/Error.js	(from https://www.99freelas.com.br/)
08:49:38	553/553	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:51:44%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/InputCount.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/InputCount.js	(from https://www.99freelas.com.br/)
08:49:39	2579/2579	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:51:42%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/ConcurrencyMod.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/ConcurrencyMod.js	(from https://www.99freelas.com.br/)
08:49:39	504/504	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Nov%202025%2022:51:42%20GMT	https://d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/FaqBox.js	D:/BordadoHub/d1fuainj13qzhu.cloudfront.net/2.9.45/js/modules/FaqBox.js	(from https://www.99freelas.com.br/)
